Product ID,Product Image URL,Product URL,Product Color,Product Size,Product Width,Market Price,Lenskart Price,Product Brand Name,Product Rating,Total Ratings
151515,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-grey-full-rim-wayfarer-vincent-chase-athleisure-vc-s14525-c1-sunglasses_g_8583.jpg,https://www.lenskart.com/vincent-chase-vc-s14525-c1-sunglasses.html,Black,Wide,145 mm,1500,1500,Vincent Chase,4.6,11
209719,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/purple-purple-rimless-rectangle-vincent-chase-sleek-steel-vc-e15835-c1-eyeglasses_g_3235_09_21_23.jpg,https://www.lenskart.com/vincent-chase-vc-e15835-ccc1-eyeglasses.html,Purple,Wide,140 mm,1700,1700,Vincent Chase,0.0,
210555,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e15991-c1-eyeglasses_g_7947_04_10_2023.jpg,https://www.lenskart.com/vincent-chase-vc-e15991-c1-eyeglasses.html,Pink,Extra Wide,144 mm,1700,1700,Vincent Chase,0.0,
212055,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/grey-maroon-full-rim-square-hooper-superhero-lk-s16250-c1-sunglasses_img_4475_06_12_2023.jpg,https://www.lenskart.com/lenskart-lk-s-16250-c1-sunglasses.html,Maroon,8-12 yrs,131 mm,2000,2000,Hooper,0.0,
213286,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s16559-c3-sunglasses_img_9764_29_dec23.jpg,https://www.lenskart.com/vincent-chase-vc-s16559-c3-sunglasses.html,Silver,Wide,141 mm,1500,1500,Vincent Chase Polarized,0.0,
149784,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-green-full-rim-rectangle-lenskart-blu-lb-e14255-c4_g_2055_6_16_22.jpg,https://www.lenskart.com/lenskart-blu-lb-e14255-full-rim-rectangle-c4-eyeglasses.html,Green,Wide,139 mm,1500,1500,Lenskart Blu,4.6,30
134573,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/silver-black-rimless-round-john-jacobs-pro-titanium-jj-e12340-c2-eyeglasses_g_0907_2_jun2023.jpg,https://www.lenskart.com/john-jacobs-jj-e12340-c2-eyeglasses.html,Silver,Medium,134 mm,5000,5000,John Jacobs,4.45,23
148597,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e14055-c2-eyeglasses_G_8337.jpg,https://www.lenskart.com/john-jacobs-jj-e14055-c2-eyeglasses.html,Blue,Narrow,132 mm,3500,3500,John Jacobs,5.0,4
204123,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/transparent-full-rim-geometric-vincent-chase-classic-acetate-vc-e15000-c3-eyeglasses_g_2027_29_july.jpg,https://www.lenskart.com/vincent-chase-vc-e15010-c3-eyeglasses.html,Transparent,Extra Wide,131 mm,1700,1700,Vincent Chase Online,4.25,4
210545,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e15986-c1-eyeglasses_g_7924_04_10_2023.jpg,https://www.lenskart.com/vincent-chase-vc-e15986-c1-eyeglasses.html,Yellow,Extra Wide,142 mm,1700,1700,Vincent Chase,0.0,
212311,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s16342-c1-sunglasses_img_1655_21_11_2023.jpg,https://www.lenskart.com/vincent-chase-vc-s16342-c1-sunglasses.html,Grey,Medium,140 mm,2000,2000,Vincent Chase Polarized,0.0,
213207,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s16527-c1-sunglasses_img_9275_15_12_2023.jpg,https://www.lenskart.com/vincent-chase-vc-s16527-c1-sunglasses.html,Silver,Narrow,132 mm,2000,2000,Vincent Chase,0.0,
211489,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/blue-orange-full-rim-wayfarer-vincent-chase-blue-billion-vc-s16183-c3-sunglasses_g_1417_09sep23.jpg,https://www.lenskart.com/vincent-chase-vc-s16183-c3-sunglasses.html,Blue,Wide,145 mm,2000,2000,Vincent Chase,0.0,
216856,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-tortoise-full-rim-rectangle-john-jacobs-rich-acetate-jj-e16891-c2-eyeglasses_img_0430_15_03_2024.jpg,https://www.lenskart.com/john-jacobs-jj-e16891-c2-eyeglasses.html,Tortoise,Wide,138 mm,5000,5000,John Jacobs,0.0,
138240,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/silver-black-grey-gradient-full-rim-square-john-jacobs-jj-tints-jj-s13080-c3-sunglasses_john-jacobs-jj-s13080-c3-sunglasses_sunglasses_g_2520_05_july23.jpg,https://www.lenskart.com/john-jacobs-jj-s13080-c3-sunglasses.html,Silver,Wide,140 mm,5000,5000,John Jacobs,4.2,5
213662,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/hooper-hp-s16592l-c3-sunglasses_img_9491_05_jan24.jpg,https://www.lenskart.com/hooper-hp-s16592l-c3-sunglasses.html,Black,8-12 yrs,127 mm,1000,1000,Hooper,0.0,
204384,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/green-blue-green-full-rim-rectangle-kids-(8-12-yrs)-hooper-flexi-hooper-hp-e15085l-c2-eyeglasses_g_5298_9_21_22.jpg,https://www.lenskart.com/hooper-hp-e10006l-c2-eyeglasses.html,Green,8-12 yrs,125 mm,1000,1000,Hooper,0.0,
209470,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/brown-white-transparent-full-rim-wayfarer-vincent-chase-patriot-vc-s5147-p-c122-polarized-sunglasses_csvfile-1689593882511-g_5307_17_07_2023.jpg,https://www.lenskart.com/vincent-chase-vc-5147-p-c122-sunglasses.html,White Transparent,Wide,143 mm,1000,1000,Vincent Chase Online,0.0,
